Num Qubits,Time,Shots,Num Ancilla,Exact Eigenvalue,Expected Phase,Most Probable Bitstring,Estimated Phase,Estimated Eigenvalue,Eigenvalue Error
2,6.4,10000,5,(2.4+0j),0.4446199258915122,01110,0.4375,0.4295146206079795,1.9704853793920205
2,0.5401,10000,5,(2.4+0j),0.20630300343343844,00111,0.21875,2.5448005664609044,0.14480056646090445
2,0.49010000000000004,10000,6,(2.4+0j),0.18720441026241097,001100,0.1875,2.403789522742649,0.0037895227426489875
2,6.6000000000000005,10000,5,(2.4+0j),0.5210142985756221,10001,0.53125,0.5057488173392659,1.894251182660734
2,5.4,10000,6,(2.4+0j),0.06264806247096377,000100,0.0625,0.07272205216643039,2.3272779478335694
2,0.5501,10000,5,(2.4+0j),0.21012272206764393,00111,0.21875,2.498539876287101,0.09853987628710126
2,6.800000000000001,10000,5,(2.4+0j),0.597408671259732,10011,0.59375,0.5486237170790998,1.8513762829209002
2,0.5601,10000,5,(2.4+0j),0.21394244070184942,00111,0.21875,2.4539310586422682,0.053931058642268326
2,0.5001,10000,6,(2.4+0j),0.19102412889661646,001100,0.1875,2.35572334552324,0.04427665447675988
2,7.0,10000,5,(2.4+0j),0.6738030439438418,10110,0.6875,0.6170985569551378,1.782901443044862
2,5.6000000000000005,10000,6,(2.4+0j),0.13904243515507364,001001,0.140625,0.15778088103966592,2.242219118960334
2,0.5701,10000,5,(2.4+0j),0.2177621593360549,00111,0.21875,2.4108871881170573,0.010887188117057356
2,7.2,10000,5,(2.4+0j),0.7501974166279517,11000,0.75,0.6544984694978736,1.7455015305021262
2,0.5801000000000001,10000,5,(2.4+0j),0.22158187797026038,00111,0.21875,2.3693273331245206,0.030672666875479315
2,0.5101,10000,6,(2.4+0j),0.19484384753082196,001100,0.1875,2.3095417469048667,0.09045825309513322
2,7.4,10000,5,(2.4+0j),0.8265917893120616,11010,0.8125,0.6898767651464073,1.7101232348535926
2,5.800000000000001,10000,6,(2.4+0j),0.2154368078391835,001110,0.21875,0.2369735837837128,2.163026416216287
2,0.5901000000000001,10000,5,(2.4+0j),0.22540159660446588,00111,0.21875,2.329176048035137,0.0708239519648628
2,7.6000000000000005,10000,5,(2.4+0j),0.9029861619961714,11101,0.90625,0.7492285111357236,1.6507714888642764
2,0.0001,10000,5,(2.4+0j),3.8197186342054885e-05,00000,0.0,0.0,2.4
2,0.6001000000000001,10000,5,(2.4+0j),0.22922131523867137,00111,0.21875,2.2903629160898755,0.10963708391012439
2,0.5201,10000,6,(2.4+0j),0.19866356616502745,001101,0.203125,2.4538973572790876,0.05389735727908773
2,7.800000000000001,10000,5,(2.4+0j),0.9793805346802813,11111,0.96875,0.7803635597859261,1.619636440214074
2,0.010100000000000001,10000,5,(2.4+0j),0.003857915820547543,00000,0.0,0.0,2.4
2,6.0,10000,6,(2.4+0j),0.2918311805232925,010011,0.296875,0.3108867730114899,2.08911322698851
2,0.6101,10000,5,(2.4+0j),0.23304103387287683,00111,0.21875,2.2528221372652593,0.14717786273474065
2,8.0,10000,5,(2.4+0j),0.05577490736439028,00010,0.0625,0.04908738521234052,2.3509126147876596
2,0.0201,10000,5,(2.4+0j),0.007677634454753031,00000,0.0,0.0,2.4
2,0.6201,10000,5,(2.4+0j),0.23686075250708233,01000,0.25,2.533133892589738,0.13313389258973807
2,8.2,10000,5,(2.4+0j),0.1321692800484997,00100,0.125,0.09578026382895712,2.3042197361710426
2,0.5301,10000,6,(2.4+0j),0.20248328479923294,001101,0.203125,2.407606141333434,0.007606141333434291
2,0.030100000000000002,10000,5,(2.4+0j),0.01149735308895852,00000,0.0,0.0,2.4
2,0.6301,10000,5,(2.4+0j),0.24068047114128782,01000,0.25,2.492931799388822,0.0929317993888219
2,6.2,10000,6,(2.4+0j),0.36822555320740236,011000,0.375,0.3800313693858621,2.019968630614138
2,8.4,10000,5,(2.4+0j),0.20856365273261002,00111,0.21875,0.16362461737446837,2.2363753826255315
2,0.040100000000000004,10000,5,(2.4+0j),0.01531707172316401,00000,0.0,0.0,2.4
2,0.6401,10000,5,(2.4+0j),0.24450018977549332,01000,0.25,2.453985825331818,0.05398582533181795
2,8.600000000000001,10000,5,(2.4+0j),0.28495802541672033,01001,0.28125,0.2054820776330533,2.1945179223669466
2,0.5401,10000,6,(2.4+0j),0.20630300343343844,001101,0.203125,2.3630290974279826,0.036970902572017295
2,0.050100000000000006,10000,5,(2.4+0j),0.0191367903573695,00001,0.03125,3.9191525119633144,1.5191525119633145
2,0.6501,10000,5,(2.4+0j),0.2483199084096988,01000,0.25,2.4162380046068246,0.016238004606824674
2,6.4,10000,6,(2.4+0j),0.4446199258915122,011100,0.4375,0.4295146206079795,1.9704853793920205
2,8.8,10000,5,(2.4+0j),0.36135239810082975,01100,0.375,0.2677493738854937,2.132250626114506
2,0.0601,10000,5,(2.4+0j),0.022956508991574986,00001,0.03125,3.2670472687081875,0.8670472687081876
2,0.6601,10000,5,(2.4+0j),0.2521396270439043,01000,0.25,2.379633883949245,0.02036611605075489
2,9.0,10000,5,(2.4+0j),0.4377467707849392,01110,0.4375,0.30543261909900765,2.094567380900992
2,0.5501,10000,6,(2.4+0j),0.21012272206764393,001101,0.203125,2.320072742266594,0.07992725773340581
2,0.07010000000000001,10000,5,(2.4+0j),0.026776227625780476,00001,0.03125,2.8009920235287025,0.40099202352870256
2,0.6701,10000,5,(2.4+0j),0.2559593456781098,01000,0.25,2.3441222605505097,0.05587773944949026
